matcher,pattern,id_text,Designation,lemma
Two Tier,PN N DET PN,P342499,"VS 15, 46-RE",X-Anu[00]PN māru[son]N ša[of]DET Anu-ab-uṣur[00]PN
Two Tier,PN N DET PN,P342499,"VS 15, 46-RE",Nanaya-iddin[00]PN māru[son]N ša[of]DET Anu-balassu-iqbi[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Mannu-iqapu[00]PN māru[son]N ša[of]DET Anu-ušallim[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Ana-rabut-Anu[00]PN māru[son]N ša[of]DET Balaṭu[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Ana-rabut-Anu[00]PN māru[son]N ša[of]DET Balaṭu[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Ana-rabut-Anu[00]PN māru[son]N ša[of]DET Balaṭu[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Anu-zer-iddin[00]PN māru[son]N ša[of]DET Nidintu-Anu[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Ina-qibit-Anu[00]PN māru[son]N ša[of]DET Balaṭu[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Anu-zer-iddin[00]PN māru[son]N ša[of]DET Nidintu-Anu[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Mannu-iqapu[00]PN māru[son]N ša[of]DET Anu-ušallim[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Ina-qibit-Anu[00]PN māru[son]N ša[of]DET Balaṭu[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Anu-zer-iddin[00]PN māru[son]N ša[of]DET Nidintu-Anu[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Labaši[00]PN māru[son]N ša[of]DET Anu-mukin-apli[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Anu-ab-uṣur[00]PN māru[son]N ša[of]DET Anu-ab-utir[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Anu-ah-iddin[00]PN māru[son]N ša[of]DET Nanaya-iddin[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Anu-ahhe-iddin[00]PN māru[son]N ša[of]DET Anu-mukin-apli[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Anu-zer-lišir[00]PN māru[son]N ša[of]DET Iddinaya[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Tanittu-Anu[00]PN māru[son]N ša[of]DET Anu-belšunu[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Dumqi-Anu[00]PN māru[son]N ša[of]DET Anu-belšunu[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Anu-balassu-iqbi[00]PN māru[son]N ša[of]DET Anu-belšunu[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Nikanor[00]PN māru[son]N ša[of]DET Straton[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Nidintu-šarri[00]PN māru[son]N ša[of]DET Anu-ah-ušabši[00]PN
Two Tier,PN N DET PN,P342500,"VS 15, 47-RE",Ina-qibit-Anu[00]PN māru[son]N ša[of]DET Nanaya-iddin[00]PN
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Anu-belšunu[00]PN māru[son]N ša[of]DET Ina-qibit-Anu[00]PN
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Anu-belšunu[00]PN māru[son]N ša[of]DET Tanittu-Anu[00]PN
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Anu-belšunu[00]PN māru[son]N ša[of]DET Ina-qibit-Anu[00]PN
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Anu-belšunu[00]PN māru[son]N ša[of]DET Tanittu-Anu[00]PN
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Zeriya[00]PN māru[son]N ša[of]DET Anu-ušallim[00]PN
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Anu-belšunu[00]PN māru[son]N ša[of]DET Tanittu-Anu[00]PN
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Anu-belšunu[00]PN māru[son]N ša[of]DET Tanittu-Anu[00]PN
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Anu-balassu-iqbi[00]PN māru[son]N ša[of]DET Rihat-Anu[00]PN
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Anu-belšunu[00]PN māru[son]N ša[of]DET Tanittu-Anu[00]PN
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Kidin-Anu[00]PN māru[son]N ša[of]DET Anu-ah-ušabši[00]PN
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Anu-ikṣur[00]PN māru[son]N ša[of]DET Anu-ahhe-iddin[00]PN
Two Tier,PN N DET PN,P342501,"VS 15, 48-RE",Anu-balassu-iqbi[00]PN māru[son]N ša[of]DET Anu-mukin-apli[00]PN
